ITEMS,SALES AMOUNT,PERCENTAGE,QUANTITY
111,"1,152.00",2.238%,180.00
1111,397.50,0.772%,58.00
7-Up,5.61,0.011%,3.00
Almond Croissant,211.50,0.411%,47.00
Almond milk,13.50,0.026%,18.00
Americano L,151.50,0.294%,27.00
Americano M,257.25,0.500%,51.00
Americano S,133.25,0.259%,31.00
Apple Juice,82.28,0.160%,22.00
Avocado Toast,976.25,1.896%,66.00
Balsamic Dressing,0.00,0.000%,3.00
Banana,0.93,0.002%,1.00
Banana Nut Bread,424.00,0.824%,106.00
Be Box,27.50,0.053%,1.00
Beechwood Burger,476.00,0.925%,31.00
Beechwood Salad,258.00,0.501%,17.00
Beechwood wrap,547.00,1.063%,37.00
Blue velvet cupcake,64.00,0.124%,16.00
Boba Milk tea,318.50,0.619%,49.00
Boba Taro,175.50,0.341%,27.00
Boba Ube,201.00,0.390%,25.00
Bountiful Yogurt Burst,286.00,0.556%,22.00
Boylan Ginger Ale,14.00,0.027%,4.00
Boyland Seltzer,10.50,0.020%,3.00
Brownie,84.00,0.163%,21.00
Bulgogi Bowl,"1,046.50",2.033%,65.00
Burrito Bowl,890.00,1.729%,48.00
Caesar Dressing,0.00,0.000%,5.00
Cajun chicken Wrap,"1,085.00",2.108%,69.00
Cajun Salad,304.75,0.592%,19.00
Cali. Veggie Burger,455.50,0.885%,32.00
California Omelet,738.50,1.435%,49.00
Cappccino S,411.50,0.799%,80.00
Caramel Macchiato S,56.50,0.110%,10.00
Carrot Spice layer,77.00,0.150%,11.00
Chai Tea S,110.75,0.215%,19.00
Cheese Burger,739.85,1.437%,51.00
Cheese Danish,176.00,0.342%,44.00
Chicken Club,"1,696.25",3.295%,120.00
Chicken Quesadilla,660.00,1.282%,44.00
Chicken Sandwich,616.50,1.198%,41.00
Chili with Chips,132.00,0.256%,11.00
Chipotle mayo,10.00,0.019%,10.00
Chocolate Chip Cookie,299.60,0.582%,107.00
Chocolate Croissant,216.00,0.420%,54.00
Chocolate Milk,12.00,0.023%,3.00
Chocolate Mousses,119.00,0.231%,17.00
Chocolate Twist,180.00,0.350%,45.00
Cinnamon Bun,216.00,0.420%,54.00
CocoFudge cupcake,28.00,0.054%,7.00
Coconut Water 16oz,96.00,0.186%,16.00
Coffee Cake,276.50,0.537%,69.00
Coffee Refill,14.00,0.027%,7.00
Coffee S,264.25,0.513%,94.00
Coke,59.84,0.116%,32.00
Cortado,276.75,0.538%,61.00
Cup of ice,2.00,0.004%,2.00
Diet Coke,76.67,0.149%,41.00
Dine in Americano,50.25,0.098%,9.00
Dine In Cafe Mocha,25.00,0.049%,4.00
Dine in Cappuccino,223.50,0.434%,37.00
Dine in Chai Latte,12.75,0.025%,2.00
Dine in Coffee,78.75,0.153%,26.00
Dine in Ginger Chai,6.00,0.012%,1.00
Dine in Hot Chocolate,20.00,0.039%,4.00
Dine in Latte,132.00,0.256%,21.00
EBC,824.00,1.601%,73.00
Egg Bar,"1,652.96",3.211%,129.00
Eggs Benedict,208.00,0.404%,13.00
ELAT,353.25,0.686%,25.00
ESPRESSO OVER ICED,7.50,0.015%,2.00
ESPRESSO SHOT,200.00,0.388%,66.00
Evergreen,18.00,0.035%,1.00
Farmers Breakfast,136.50,0.265%,9.00
French Roast,51.00,0.099%,3.00
French toaste,255.00,0.495%,17.00
Front Open Item,15.01,0.029%,9.00
Fruit Cheese cake,28.00,0.054%,4.00
Ginger Ale,14.00,0.027%,4.00
Ginger Chai S,38.50,0.075%,7.00
Granola Bowl,42.00,0.082%,4.00
Gravy,15.00,0.029%,3.00
Green Salsa,4.00,0.008%,4.00
Grill Cheese Sandwich,137.50,0.267%,18.00
Grilled Chicken Box,787.85,1.530%,46.00
Hair Bender,68.00,0.132%,4.00
Ham and Cheese Crois.,276.50,0.537%,25.00
Holler Mtn,85.00,0.165%,5.00
Homestead,17.00,0.033%,1.00
Hot Chocolate SE,28.00,0.054%,7.00
Hot Milk,8.00,0.016%,2.00
Huevos Rancheros,454.25,0.882%,28.00
Iced Americano LS,123.25,0.239%,22.00
Iced Americano M,102.25,0.199%,20.00
Iced Americano xL,52.00,0.101%,8.00
Iced Latte M,616.25,1.197%,113.00
Jalapeno Mayo,0.00,0.000%,2.00
JD Cookie,395.00,0.767%,79.00
Jelly,0.00,0.000%,1.00
K- wings Sweet n Spice,83.94,0.163%,6.00
Kale Caesar Salad,543.45,1.056%,36.00
Kale Caesar Wrap,"1,297.00",2.519%,89.00
Kitchen Open item,21.50,0.042%,27.00
Kombucha,10.00,0.019%,2.00
Korean Steak Sandwich,921.00,1.789%,57.00
K-Ramen Regular,254.55,0.494%,21.00
K-Ramen Rose Cheese,144.00,0.280%,12.00
K-wings Chipotle BBQ,237.83,0.462%,17.00
K-wings Crispy Soy,321.77,0.625%,23.00
K-wings Sweet Chili,97.93,0.190%,7.00
L Arnold Palmer,84.00,0.163%,14.00
L COLDBREW 11,654.75,1.272%,126.00
L HOT CAFE MOCHA,61.00,0.118%,9.00
L HOT CAPPUCCINO,371.50,0.722%,61.00
L HOT CARAMEL MAC,149.75,0.291%,23.00
L HOT CHAI LATTE,192.50,0.374%,29.00
L HOT CHOCOLATE,15.00,0.029%,3.00
L HOT COFFEE,796.25,1.547%,261.00
L HOT GINGER CHAI,26.50,0.051%,4.00
L HOT MATCHA,231.00,0.449%,36.00
L HOT SALTED CARAMEL,92.00,0.179%,14.00
L HOT WHITE MOCHA,44.50,0.086%,7.00
L ICED CAFE MOCHA,56.00,0.109%,8.00
L ICED CAPPUCCINO,26.50,0.051%,5.00
L ICED CARAMEL MAC,38.00,0.074%,5.00
L ICED CHAI,86.25,0.168%,15.00
L ICED LATTE,"1,026.75",1.994%,157.00
L ICED MATCHA,254.75,0.495%,33.00
L Iced Passion Fruit,65.00,0.126%,13.00
L ICED SALTED CARAMEL,22.50,0.044%,3.00
L ICED WHITE MOCHA,49.00,0.095%,7.00
Latte M,940.25,1.826%,179.00
Latte S,450.00,0.874%,84.00
Lemonade,144.00,0.280%,36.00
