ITEMS,SALES AMOUNT,QUANTITY
111,1234.75,193.0
1111,397.5,58.0
7-Up,84.15,45.0
Almond Croissant,1075.5,239.0
Almond milk,118.5,158.0
Americano L,269.25,48.0
Americano M,583.25,116.0
Americano S,133.25,31.0
Apple Juice,448.8,120.0
Avocado Toast,5813.75,383.0
BLT,174.5,13.0
BLUEBERRY,19.5,13.0
Balsamic Dressing,0.0,30.0
Banana,39.99,43.0
Banana Nut Bread,1968.0,492.0
Be Box,27.5,1.0
Beechwood Burger,2106.5,133.0
Beechwood Salad,2260.5,147.0
Beechwood wrap,2519.0,173.0
Blue velvet cupcake,172.0,43.0
Boba Milk tea,1572.75,240.0
Boba Taro,985.75,150.0
Boba Ube,734.0,91.0
Bountiful Yogurt Burst,1280.75,96.0
Boylan Ginger Ale,112.0,32.0
Boyland Seltzer,42.0,12.0
Brownie,160.0,40.0
Bulgogi Bowl,5142.75,314.0
Burrito Bowl,4495.5,242.0
Buttermilk Biscuit,4.0,2.0
Caesar Dressing,0.0,35.0
Cajun Dressing,0.0,1.0
Cajun Salad,2645.25,165.0
Cajun chicken Wrap,5142.75,329.0
Cali. Veggie Burger,1961.85,138.0
California Omelet,3960.6,261.0
Cappccino S,411.5,80.0
Caramel Macchiato S,130.25,23.0
Carrot Spice layer,427.0,61.0
Chai Tea S,110.75,19.0
Cheese Burger,3175.85,215.0
Cheese Danish,888.0,222.0
Chicken Club,10110.6,719.0
Chicken Quesadilla,3441.85,229.0
Chicken Sandwich,2981.2,198.0
Chili with Chips,145.0,12.0
Chipotle mayo,65.0,65.0
Chocolate Chip Cookie,1372.0,490.0
Chocolate Croissant,1056.0,264.0
Chocolate Milk,32.0,8.0
Chocolate Mousses,567.0,81.0
Chocolate Twist,864.0,216.0
Cinnamon Bun,932.0,233.0
CocoFudge cupcake,168.0,42.0
Coconut Milk,1.5,2.0
Coconut Water 16oz,393.0,68.0
Coffee Cake,1376.5,344.0
Coffee Refill,80.0,40.0
Coffee S,264.25,94.0
Coke,445.06,238.0
Cortado,750.25,165.0
Cup of ice,4.0,4.0
Devils Choice Waffle,64.0,4.0
