ITEMS,SALES AMOUNT,PERCENTAGE,QUANTITY
7-Up,13.09,0.024%,7.00
Almond Croissant,207.00,0.378%,46.00
Almond milk,22.50,0.041%,30.00
Apple Juice,112.20,0.205%,30.00
Avocado Toast,"1,028.50",1.877%,70.00
Balsamic Dressing,0.00,0.000%,7.00
Banana Nut Bread,348.00,0.635%,87.00
Beechwood Burger,434.00,0.792%,27.00
Beechwood Salad,323.00,0.590%,21.00
Beechwood wrap,665.00,1.214%,47.00
Blue velvet cupcake,12.00,0.022%,3.00
BLUEBERRY,7.50,0.014%,5.00
Boba Milk tea,244.50,0.446%,37.00
Boba Taro,257.50,0.470%,39.00
Boba Ube,57.00,0.104%,7.00
Bountiful Yogurt Burst,248.00,0.453%,19.00
Boylan Ginger Ale,21.00,0.038%,6.00
Boyland Seltzer,7.00,0.013%,2.00
Brownie,28.00,0.051%,7.00
Bulgogi Bowl,970.50,1.771%,61.00
Burrito Bowl,793.50,1.448%,43.00
Caesar Dressing,0.00,0.000%,8.00
Cajun chicken Wrap,"1,224.75",2.235%,79.00
Cajun Salad,512.00,0.935%,32.00
Cali. Veggie Burger,296.35,0.541%,21.00
California Omelet,851.50,1.554%,56.00
Carrot Spice layer,105.00,0.192%,15.00
Cheese Burger,515.00,0.940%,35.00
Cheese Danish,172.00,0.314%,43.00
Chicken Club,"2,378.75",4.342%,169.00
Chicken Quesadilla,810.00,1.478%,54.00
Chicken Sandwich,648.20,1.183%,43.00
Chipotle mayo,12.00,0.022%,12.00
Chocolate Chip Cookie,168.00,0.307%,60.00
Chocolate Croissant,208.00,0.380%,52.00
Chocolate Milk,16.00,0.029%,4.00
Chocolate Mousses,91.00,0.166%,13.00
Chocolate Twist,156.00,0.285%,39.00
Cinnamon Bun,196.00,0.358%,49.00
CocoFudge cupcake,12.00,0.022%,3.00
Coconut Water 16oz,57.00,0.104%,10.00
Coffee Cake,208.00,0.380%,52.00
Coffee Refill,8.00,0.015%,4.00
Coke,115.94,0.212%,62.00
Cortado,155.50,0.284%,34.00
Diet Coke,127.16,0.232%,68.00
Dine in Americano,60.50,0.110%,11.00
Dine In Cafe Mocha,6.25,0.011%,1.00
Dine in Cappuccino,261.00,0.476%,43.00
Dine in Chai Latte,6.00,0.011%,1.00
Dine in Coffee,72.75,0.133%,24.00
Dine in Ginger Chai,6.00,0.011%,1.00
Dine in Hot Chocolate,5.00,0.009%,1.00
Dine in Latte,144.00,0.263%,23.00
EBC,"1,130.05",2.063%,100.00
Egg Bar,"1,748.64",3.192%,136.00
Eggs Benedict,192.00,0.350%,12.00
ELAT,360.50,0.658%,25.00
ESPRESSO OVER ICED,121.00,0.221%,40.00
ESPRESSO SHOT,264.00,0.482%,88.00
Evergreen,18.00,0.033%,1.00
Farmers Breakfast,270.00,0.493%,18.00
French Roast,51.00,0.093%,3.00
French toaste,255.00,0.465%,17.00
Front Open Item,123.92,0.226%,20.00
Fruit Cheese cake,14.00,0.026%,2.00
Ginger Ale,10.50,0.019%,3.00
Granola Bowl,170.00,0.310%,17.00
Gravy,5.00,0.009%,1.00
Green Salsa,8.00,0.015%,8.00
Grill Cheese Sandwich,160.85,0.294%,21.00
Grilled Chicken Box,869.00,1.586%,51.00
Guacamole Dip,20.00,0.037%,2.00
Hair Bender,51.00,0.093%,3.00
Ham and Cheese Crois.,438.00,0.799%,39.00
Holler Mtn,34.00,0.062%,2.00
Homestead,51.00,0.093%,3.00
Hot Milk,8.00,0.015%,2.00
Huevos Rancheros,335.95,0.613%,21.00
Jalapeno Mayo,0.00,0.000%,2.00
JD Cookie,520.00,0.949%,104.00
Jelly,0.00,0.000%,2.00
K- wings Sweet n Spice,139.90,0.255%,10.00
Kale Caesar Salad,422.85,0.772%,29.00
Kale Caesar Wrap,"1,169.50",2.135%,81.00
Kitchen Open item,19.50,0.036%,27.00
Kombucha,25.00,0.046%,5.00
Korean Steak Sandwich,"1,185.00",2.163%,74.00
K-Ramen Regular,180.00,0.329%,15.00
K-Ramen Rose Cheese,84.00,0.153%,7.00
K-wings Chipotle BBQ,251.82,0.460%,18.00
K-wings Crispy Soy,307.78,0.562%,22.00
K-wings Sweet Chili,181.87,0.332%,13.00
L Arnold Palmer,120.00,0.219%,20.00
L COLDBREW,"1,653.00",3.017%,275.00
L HOT AMERICANO,101.50,0.185%,16.00
L HOT CAFE MOCHA,34.50,0.063%,5.00
L HOT CAPPUCCINO,228.00,0.416%,37.00
L HOT CARAMEL MAC,63.25,0.115%,10.00
L HOT CHAI LATTE,90.50,0.165%,14.00
L HOT CHOCOLATE,5.00,0.009%,1.00
L HOT COFFEE,487.25,0.889%,158.00
L HOT GINGER CHAI,36.75,0.067%,6.00
L HOT LATTE,819.00,1.495%,126.00
L HOT MATCHA,86.50,0.158%,13.00
L HOT SALTED CARAMEL,18.75,0.034%,3.00
L HOT WHITE MOCHA,46.00,0.084%,7.00
L ICED AMERICANO,101.50,0.185%,16.00
L ICED CAFE MOCHA,28.75,0.052%,4.00
L ICED CAPPUCCINO,15.00,0.027%,2.00
L ICED CARAMEL MAC,89.25,0.163%,12.00
L ICED CHAI,82.50,0.151%,11.00
L ICED GINGER CHAI,14.75,0.027%,2.00
L ICED MATCHA,442.25,0.807%,60.00
L Iced Passion Fruit,240.00,0.438%,48.00
L ICED SALTED CARAMEL,117.00,0.214%,16.00
L ICED WHITE MOCHA,35.75,0.065%,5.00
L LEMONADE,110.00,0.201%,22.00
LARGED ICED LATTE,839.50,1.532%,130.00
London Fog,30.00,0.055%,6.00
M Arnold Palmer,95.00,0.173%,19.00
M COLDBREW,"1,797.00",3.280%,316.00
M ICED AMERICANO,250.50,0.457%,41.00
M ICED CAFE MOCHA,121.00,0.221%,19.00
M ICED CAPPUCCINO,99.25,0.181%,14.00
M ICED CARAMEL MAC,255.00,0.465%,38.00
M ICED CHAI,162.75,0.297%,24.00
M ICED GINGER CHAI,7.00,0.013%,1.00
M ICED LATTE,"1,695.25",3.094%,282.00
M ICED MATCHA,651.00,1.188%,96.00
M Iced Passion Fruit,336.00,0.613%,84.00
M ICED SALTED CARAMEL,156.00,0.285%,24.00
M ICED WHITE MOCHA,75.75,0.138%,12.00
M LEMONADE,180.00,0.329%,45.00
Macchiato,12.75,0.023%,3.00
Maple Syrup,0.00,0.000%,5.00
Mc and B,493.75,0.901%,41.00
Milk,14.00,0.026%,4.00
Mixed Green Salad,106.00,0.193%,10.00
Monkey Bread,170.00,0.310%,34.00
Muffin,459.00,0.838%,153.00
Muffin - HALF,2.50,0.005%,2.00
NY Cheese cake,42.00,0.077%,6.00
Oat milk,43.25,0.079%,57.00
Orange Juice,345.00,0.630%,69.00
Oreo cupcake,24.00,0.044%,6.00
Pancake,417.75,0.762%,32.00
Pecan Banana Waffle,90.00,0.164%,6.00
Plain Croissant,452.54,0.826%,121.00
PLT,591.00,1.079%,42.00
Pot of Tea,50.00,0.091%,10.00
Ranch dressing,5.00,0.009%,5.00
Ranch sauce,7.00,0.013%,7.00
Ras.Cheese bun,150.00,0.274%,30.00
RASPBERRY,15.00,0.027%,10.00
Red velvet,119.00,0.217%,17.00
Red velvet cupcake,28.00,0.051%,7.00
Rice Crispy,188.00,0.343%,47.00
S COLDBREW,805.00,1.469%,161.00
S HOT AMERICANO,307.00,0.560%,55.00
S HOT CAFE MOCHA,101.25,0.185%,18.00
S HOT CAPPUCINO,639.75,1.168%,124.00
S HOT CARAMEL MAC,156.25,0.285%,28.00
S HOT CHAI LATTE,114.75,0.209%,20.00
S HOT CHOCOLATE,28.00,0.051%,7.00
S HOT COFFEE,428.50,0.782%,154.00
S HOT GINGER CHAI,33.00,0.060%,6.00
S HOT LATTE,657.75,1.201%,114.00
S HOT MATCHA,76.75,0.140%,13.00
S HOT SALTED CARAMEL,61.25,0.112%,11.00
S HOT WHITE MOCHA,56.50,0.103%,10.00
S ICED AMERICANO,150.75,0.275%,27.00
S ICED CAFE MOCHA,45.50,0.083%,8.00
S ICED CAPPUCCINO,90.00,0.164%,15.00
S ICED CARAMEL MAC,78.50,0.143%,14.00
S ICED CHAI,73.75,0.135%,13.00
S ICED GINGER CHAI,11.75,0.021%,2.00
S ICED MATCHA,306.00,0.559%,51.00
S ICED SALTED CARAMEL,74.50,0.136%,13.00
S ICED WHITE MOCHA,44.75,0.082%,8.00
Salmon Benedict,288.00,0.526%,16.00
San Pellegrino 16oz,68.00,0.124%,17.00
San Pellegrino 8oz,45.00,0.082%,15.00
Santa Fe Burrito,758.00,1.384%,56.00
Scones,744.00,1.358%,186.00
Side Grilled Chicken,55.00,0.100%,11.00
Side of Avocado,25.00,0.046%,5.00
Side of Bacon,155.00,0.283%,31.00
SIde of Cajun Fries,24.00,0.044%,3.00
Side of French Fries,361.50,0.660%,60.00
Side of Fruit Bowl,32.00,0.058%,4.00
Side of Home Fries,140.00,0.256%,28.00
Side of Mixed Greens,43.00,0.078%,5.00
Side of Pancakes,110.00,0.201%,11.00
Side of Sausage,55.00,0.100%,11.00
Side of Smoked Salmon,6.00,0.011%,1.00
Side of Thick Cut Ham,5.00,0.009%,1.00
Side of Toast,26.00,0.047%,8.00
SMALL ICED LATTE,655.25,1.196%,111.00
Soup,459.00,0.838%,51.00
Sour Cream,4.50,0.008%,3.00
Southern Pepper Egg,383.00,0.699%,29.00
Steak and Eggs,35.00,0.064%,2.00
Steak Salmon Rice,829.50,1.514%,43.00
Steam Milk,0.85,0.002%,1.00
Sticky Bun,165.00,0.301%,33.00
STRAWBERRY,90.00,0.164%,60.00
Sunrise Berry Bowl,143.00,0.261%,11.00
Syrup,52.50,0.096%,70.00
The Classic,694.75,1.268%,46.00
Toasted Croissant,48.50,0.089%,13.00
Toasted Muffin,10.00,0.018%,3.00
To-Go Tea,341.00,0.622%,106.00
Turkey Club,691.50,1.262%,46.00
VIDAGUA CUCUMBER LEMON,25.00,0.046%,5.00
VIDAGUA JAMAICA HIBIS,20.00,0.037%,4.00
VIDAGUA MANGO GINGER,5.00,0.009%,1.00
Waffle,227.00,0.414%,16.00
Water 1L,144.00,0.263%,36.00
Water 500mL,192.00,0.350%,64.00
Whipped Cream,0.85,0.002%,1.00
White rice,44.00,0.080%,11.00
