ITEMS,SALES AMOUNT,PERCENTAGE,QUANTITY
7-Up,22.44,0.035%,12.00
Almond Croissant,238.50,0.377%,53.00
Almond milk,38.25,0.060%,51.00
Americano L,251.25,0.397%,45.00
Americano M,217.50,0.344%,43.00
Apple Juice,108.46,0.171%,29.00
Avocado Toast,"1,373.75",2.172%,89.00
Balsamic Dressing,0.00,0.000%,1.00
Banana,9.30,0.015%,10.00
Banana Nut Bread,496.00,0.784%,124.00
Beechwood Burger,515.70,0.815%,33.00
Beechwood Salad,522.00,0.825%,34.00
Beechwood wrap,774.00,1.224%,52.00
Blue velvet cupcake,24.00,0.038%,6.00
BLUEBERRY,6.00,0.009%,4.00
Boba Milk tea,151.50,0.240%,23.00
Boba Taro,237.00,0.375%,36.00
Boba Ube,105.00,0.166%,13.00
Bountiful Yogurt Burst,429.75,0.679%,33.00
Boylan Ginger Ale,17.50,0.028%,5.00
Boyland Seltzer,28.00,0.044%,8.00
Bulgogi Bowl,"1,056.00",1.669%,66.00
Burrito Bowl,"1,439.00",2.275%,80.00
Buttermilk Biscuit,12.00,0.019%,4.00
Caesar Dressing,0.00,0.000%,3.00
Cajun chicken Wrap,"1,280.75",2.025%,82.00
Cajun Salad,354.00,0.560%,22.00
Cali. Veggie Burger,635.25,1.004%,45.00
California Omelet,881.50,1.394%,58.00
Caramel Macchiato S,79.25,0.125%,14.00
Carrot Spice layer,77.00,0.122%,11.00
Cheese Burger,802.00,1.268%,55.00
Cheese Danish,236.00,0.373%,59.00
Chicken Club,"2,203.60",3.484%,157.00
Chicken Quesadilla,837.00,1.323%,55.00
Chicken Sandwich,827.50,1.308%,55.00
Chipotle mayo,14.00,0.022%,14.00
Chocolate Chip Cookie,215.60,0.341%,77.00
Chocolate Croissant,228.00,0.360%,57.00
Chocolate Milk,12.00,0.019%,3.00
Chocolate Mousses,105.00,0.166%,15.00
Chocolate Twist,212.00,0.335%,53.00
Cinnamon Bun,216.00,0.341%,54.00
CocoFudge cupcake,36.00,0.057%,9.00
Coconut Milk,0.75,0.001%,1.00
Coconut Water 16oz,54.00,0.085%,9.00
Coffee Cake,364.00,0.575%,91.00
Coffee Refill,18.00,0.028%,9.00
Coke,97.24,0.154%,52.00
Cortado,123.00,0.194%,27.00
Cup of ice,1.00,0.002%,1.00
Diet Coke,132.77,0.210%,71.00
Dine in Americano,66.00,0.104%,12.00
Dine In Cafe Mocha,56.25,0.089%,9.00
Dine in Cappuccino,238.50,0.377%,38.00
Dine in Chai Latte,18.75,0.030%,3.00
Dine in Coffee,116.25,0.184%,38.00
Dine in Hot Chocolate,15.75,0.025%,3.00
Dine in Latte,168.75,0.267%,26.00
EBC,"1,070.45",1.692%,95.00
Egg Bar,"1,916.69",3.030%,156.00
Eggs Benedict,320.00,0.506%,20.00
ELAT,370.00,0.585%,26.00
ESPRESSO OVER ICED,12.00,0.019%,4.00
ESPRESSO SHOT,241.00,0.381%,80.00
Farmers Breakfast,210.00,0.332%,14.00
FREE LATTE,0.00,0.000%,1.00
French Roast,68.00,0.108%,4.00
French toaste,405.00,0.640%,27.00
Front Open Item,38.53,0.061%,14.00
Fruit Cheese cake,35.00,0.055%,5.00
Ginger Ale,7.00,0.011%,2.00
Granola Bowl,202.75,0.321%,20.00
Gravy,30.00,0.047%,6.00
Green Salsa,5.00,0.008%,5.00
Grill Cheese Sandwich,203.70,0.322%,28.00
