ITEMS,SALES AMOUNT,PERCENTAGE,QUANTITY
111,82.75,0.144%,13.00
7-Up,22.44,0.039%,12.00
Almond Croissant,229.50,0.400%,51.00
Almond milk,26.25,0.046%,35.00
Americano L,117.75,0.205%,21.00
Americano M,326.00,0.568%,65.00
Apple Juice,86.02,0.150%,23.00
Avocado Toast,"1,197.25",2.087%,77.00
Balsamic Dressing,0.00,0.000%,5.00
Banana,23.25,0.041%,25.00
Banana Nut Bread,416.00,0.725%,104.00
Beechwood Burger,478.00,0.833%,30.00
Beechwood Salad,525.00,0.915%,35.00
Beechwood wrap,714.00,1.245%,48.00
Blue velvet cupcake,52.00,0.091%,13.00
Boba Milk tea,266.50,0.465%,41.00
Boba Taro,131.75,0.230%,20.00
Boba Ube,193.00,0.336%,24.00
Bountiful Yogurt Burst,247.00,0.431%,19.00
Boylan Ginger Ale,24.50,0.043%,7.00
Boyland Seltzer,10.50,0.018%,3.00
Brownie,48.00,0.084%,12.00
Bulgogi Bowl,"1,234.00",2.151%,76.00
Burrito Bowl,621.50,1.084%,34.00
Caesar Dressing,0.00,0.000%,3.00
Cajun chicken Wrap,"1,112.00",1.939%,70.00
Cajun Salad,451.00,0.786%,28.00
Cali. Veggie Burger,539.50,0.941%,38.00
California Omelet,888.85,1.550%,58.00
Caramel Macchiato S,73.75,0.129%,13.00
Carrot Spice layer,119.00,0.207%,17.00
Cheese Burger,573.00,0.999%,39.00
Cheese Danish,200.00,0.349%,50.00
Chicken Club,"1,965.50",3.427%,140.00
Chicken Quesadilla,780.85,1.361%,52.00
Chicken Sandwich,767.50,1.338%,51.00
Chipotle mayo,10.00,0.017%,10.00
Chocolate Chip Cookie,288.40,0.503%,103.00
Chocolate Croissant,236.00,0.411%,59.00
Chocolate Mousses,175.00,0.305%,25.00
Chocolate Twist,180.00,0.314%,45.00
Cinnamon Bun,168.00,0.293%,42.00
CocoFudge cupcake,56.00,0.098%,14.00
Coconut Milk,0.75,0.001%,1.00
Coconut Water 16oz,96.00,0.167%,16.00
Coffee Cake,352.00,0.614%,88.00
Coffee Refill,12.00,0.021%,6.00
Coke,108.46,0.189%,58.00
Cortado,97.00,0.169%,21.00
Diet Coke,127.16,0.222%,68.00
Dine in Americano,66.00,0.115%,12.00
Dine In Cafe Mocha,25.00,0.044%,4.00
Dine in Cappuccino,296.25,0.516%,48.00
Dine in Chai Latte,18.00,0.031%,3.00
Dine in Coffee,138.75,0.242%,46.00
Dine in Ginger Chai,18.00,0.031%,3.00
Dine in Hot Chocolate,10.75,0.019%,2.00
Dine in Latte,194.25,0.339%,31.00
EBC,872.00,1.520%,77.00
Egg Bar,"1,666.92",2.906%,133.00
Eggs Benedict,208.00,0.363%,13.00
ELAT,395.00,0.689%,28.00
ESPRESSO OVER ICED,9.00,0.016%,3.00
ESPRESSO SHOT,191.00,0.333%,63.00
Farmers Breakfast,406.00,0.708%,27.00
Free Coffee,0.00,0.000%,1.00
French Roast,51.00,0.089%,3.00
French toaste,285.00,0.497%,19.00
Front Open Item,22.80,0.040%,13.00
Fruit Cheese cake,70.00,0.122%,10.00
Ginger Ale,21.00,0.037%,6.00
Granola Bowl,191.50,0.334%,19.00
Gravy,30.00,0.052%,6.00
Green Salsa,2.00,0.003%,2.00
Grill Cheese Sandwich,164.25,0.286%,23.00
Grilled Chicken Box,699.00,1.219%,41.00
Guacamole Dip,20.00,0.035%,2.00
Hair Bender,68.00,0.119%,4.00
Ham and Cheese Crois.,367.50,0.641%,33.00
Holler Mtn,85.00,0.148%,5.00
Homestead,34.00,0.059%,2.00
Hot Chocolate SE,4.00,0.007%,1.00
Huevos Rancheros,340.50,0.594%,21.00
Iced Americano LS,150.00,0.262%,27.00
Iced Americano M,148.75,0.259%,29.00
Iced Americano xL,97.50,0.170%,15.00
Iced Latte M,58.00,0.101%,11.00
Jalapeno Mayo,0.00,0.000%,1.00
JD Cookie,450.00,0.785%,90.00
Jelly,0.00,0.000%,1.00
K- wings Sweet n Spice,237.83,0.415%,17.00
Kale Caesar Salad,427.10,0.745%,28.00
Kale Caesar Wrap,"1,334.00",2.326%,90.00
Kitchen Open item,33.50,0.058%,16.00
Kombucha,30.00,0.052%,6.00
Korean Steak Sandwich,"1,063.00",1.853%,66.00
