ITEMS,SALES AMOUNT,PERCENTAGE,QUANTITY
7-Up,28.05,0.050%,15.00
Almond Croissant,220.50,0.397%,49.00
Almond milk,33.00,0.059%,44.00
Apple Juice,93.50,0.168%,25.00
Avocado Toast,"1,402.50",2.524%,94.00
Balsamic Dressing,0.00,0.000%,12.00
Banana,3.72,0.007%,4.00
Banana Nut Bread,388.00,0.698%,97.00
Beechwood Burger,302.50,0.544%,19.00
Beechwood Salad,423.00,0.761%,28.00
Beechwood wrap,507.00,0.913%,35.00
Blue velvet cupcake,28.00,0.050%,7.00
BLUEBERRY,12.00,0.022%,8.00
Boba Milk tea,417.25,0.751%,63.00
Boba Taro,271.50,0.489%,41.00
Boba Ube,195.00,0.351%,24.00
Bountiful Yogurt Burst,235.75,0.424%,18.00
Boylan Ginger Ale,35.00,0.063%,10.00
Bulgogi Bowl,726.25,1.307%,45.00
Burrito Bowl,"1,121.00",2.018%,62.00
Buttermilk Biscuit,3.00,0.005%,1.00
Caesar Dressing,0.00,0.000%,13.00
Cajun chicken Wrap,"1,473.00",2.651%,95.00
Cajun Salad,481.50,0.867%,30.00
Cali. Veggie Burger,351.50,0.633%,25.00
California Omelet,751.75,1.353%,50.00
Carrot Spice layer,63.00,0.113%,9.00
Cheese Burger,732.00,1.318%,51.00
Cheese Danish,164.00,0.295%,41.00
Chicken Club,"2,162.75",3.893%,154.00
Chicken Quesadilla,651.00,1.172%,43.00
Chicken Sandwich,405.00,0.729%,27.00
Chipotle mayo,18.00,0.032%,18.00
Chocolate Chip Cookie,263.20,0.474%,94.00
Chocolate Croissant,192.00,0.346%,48.00
Chocolate Mousses,98.00,0.176%,14.00
Chocolate Twist,184.00,0.331%,46.00
Cinnamon Bun,164.00,0.295%,41.00
CocoFudge cupcake,44.00,0.079%,11.00
Coconut Milk,0.75,0.001%,1.00
Coconut Water 16oz,84.00,0.151%,14.00
Coffee Cake,216.00,0.389%,54.00
Coffee Refill,24.00,0.043%,12.00
Coke,71.06,0.128%,38.00
Cortado,89.00,0.160%,19.00
Diet Coke,69.19,0.125%,37.00
Dine in Americano,49.50,0.089%,9.00
