ITEMS,SALES AMOUNT,PERCENTAGE,QUANTITY
7-Up,14.96,0.028%,8.00
Almond Croissant,207.00,0.387%,46.00
Almond milk,23.25,0.044%,31.00
Apple Juice,74.80,0.140%,20.00
Avocado Toast,"1,209.25",2.263%,76.00
Balsamic Dressing,0.00,0.000%,3.00
Banana,12.09,0.023%,13.00
Banana Nut Bread,392.00,0.734%,98.00
Beechwood Burger,416.00,0.779%,26.00
Beechwood Salad,731.50,1.369%,46.00
Beechwood wrap,86.00,0.161%,6.00
BLT,174.50,0.327%,13.00
Blue velvet cupcake,16.00,0.030%,4.00
Boba Milk tea,326.00,0.610%,50.00
Boba Taro,149.50,0.280%,23.00
Boba Ube,88.00,0.165%,11.00
Bountiful Yogurt Burst,264.00,0.494%,18.00
Boylan Ginger Ale,17.50,0.033%,5.00
Boyland Seltzer,14.00,0.026%,4.00
Bulgogi Bowl,"1,165.50",2.182%,67.00
Burrito Bowl,"1,069.50",2.002%,55.00
Buttermilk Biscuit,1.00,0.002%,1.00
Caesar Dressing,0.00,0.000%,6.00
Cajun chicken Wrap,248.00,0.464%,16.00
Cajun Dressing,0.00,0.000%,1.00
Cajun Salad,896.00,1.677%,56.00
Cali. Veggie Burger,319.00,0.597%,22.00
California Omelet,730.00,1.366%,48.00
Carrot Spice layer,63.00,0.118%,9.00
Cheese Burger,616.00,1.153%,39.00
Cheese Danish,176.00,0.329%,44.00
Chicken Club,"1,907.35",3.570%,136.00
Chicken Quesadilla,540.00,1.011%,36.00
Chicken Sandwich,544.00,1.018%,36.00
Chili with Chips,13.00,0.024%,1.00
Chipotle mayo,15.00,0.028%,15.00
Chocolate Chip Cookie,352.80,0.660%,126.00
Chocolate Croissant,204.00,0.382%,51.00
Chocolate Milk,4.00,0.007%,1.00
Chocolate Mousses,84.00,0.157%,12.00
Chocolate Twist,164.00,0.307%,41.00
Cinnamon Bun,188.00,0.352%,47.00
CocoFudge cupcake,28.00,0.052%,7.00
Coconut Water 16oz,60.00,0.112%,12.00
Coffee Cake,324.00,0.606%,81.00
Coffee Refill,22.00,0.041%,11.00
Coke,89.76,0.168%,48.00
Cortado,132.00,0.247%,30.00
Cup of ice,2.00,0.004%,2.00
Devils Choice Waffle,64.00,0.120%,4.00
Devils Pancakes,112.00,0.210%,7.00
Diet Coke,106.59,0.200%,57.00
Dine in Americano,77.00,0.144%,14.00
Dine In Cafe Mocha,12.50,0.023%,2.00
Dine in Cappuccino,195.25,0.365%,32.00
Dine in Chai Latte,12.00,0.022%,2.00
Dine in Coffee,122.25,0.229%,40.00
Dine in Hot Chocolate,10.00,0.019%,2.00
Dine in Latte,144.75,0.271%,23.00
EBC,980.00,1.834%,76.00
Egg Bar,"1,819.71",3.406%,143.00
Eggs Benedict,203.50,0.381%,12.00
ELAT,427.50,0.800%,30.00
ESPRESSO OVER ICED,62.50,0.117%,18.00
ESPRESSO SHOT,268.75,0.503%,84.00
Farmers Breakfast,224.00,0.419%,14.00
French Roast,68.00,0.127%,4.00
French toaste,135.00,0.253%,9.00
Front Open Item,41.49,0.078%,12.00
Fruit Cheese cake,35.00,0.066%,5.00
Ginger Ale,7.00,0.013%,2.00
Granola Bowl,146.00,0.273%,13.00
Gravy,6.00,0.011%,2.00
Green Salsa,3.00,0.006%,3.00
Grill Cheese Sandwich,181.00,0.339%,25.00
Grilled Chicken Box,"1,106.90",2.072%,65.00
Guacamole Dip,20.00,0.037%,2.00
Hair Bender,51.00,0.095%,3.00
Ham and Cheese Crois.,618.50,1.158%,52.00
Holler Mtn,85.00,0.159%,5.00
Homestead,51.00,0.095%,3.00
Hot Milk,8.00,0.015%,2.00
Huevos Rancheros,367.50,0.688%,22.00
Iced Coffee refill,12.00,0.022%,3.00
Jalapeno Mayo,0.00,0.000%,1.00
JD Cookie,360.00,0.674%,72.00
Jelly,0.00,0.000%,2.00
K- wings Sweet n Spice,223.84,0.419%,16.00
Kale Caesar Salad,"1,096.85",2.053%,69.00
Kale Caesar Wrap,275.50,0.516%,19.00
Kitchen Open item,28.85,0.054%,18.00
Kombucha,35.00,0.066%,7.00
Korean Steak Sandwich,802.00,1.501%,48.00
K-Ramen Regular,312.00,0.584%,26.00
K-Ramen Rose Cheese,168.00,0.314%,14.00
K-wings Chipotle BBQ,69.95,0.131%,5.00
K-wings Crispy Soy,294.79,0.552%,22.00
K-wings Sweet Chili,125.91,0.236%,9.00
L Arnold Palmer,54.00,0.101%,9.00
L COLDBREW,"1,431.00",2.679%,238.00
L HOT AMERICANO,127.50,0.239%,23.00
L HOT CAFE MOCHA,76.50,0.143%,12.00
L HOT CAPPUCCINO,195.00,0.365%,32.00
L HOT CARAMEL MAC,85.00,0.159%,13.00
L HOT CHAI LATTE,122.25,0.229%,19.00
L HOT CHOCOLATE,5.00,0.009%,1.00
L HOT COFFEE,716.25,1.341%,209.00
L HOT GINGER CHAI,12.00,0.022%,2.00
L HOT LATTE,814.50,1.525%,127.00
L HOT MATCHA,158.25,0.296%,24.00
L HOT PUMPKIN SPICE,18.75,0.035%,3.00
L HOT SALTED CARAMEL,26.00,0.049%,4.00
L HOT WHITE MOCHA,6.25,0.012%,1.00
L ICED AMERICANO,98.75,0.185%,16.00
L ICED CAFE MOCHA,28.75,0.054%,4.00
L ICED CARAMEL MAC,90.75,0.170%,12.00
L ICED CHAI,54.75,0.102%,7.00
L ICED GINGER CHAI,7.00,0.013%,1.00
L ICED MATCHA,358.75,0.672%,47.00
L Iced Passion Fruit,370.00,0.693%,74.00
L ICED PUMPKIN SPICE,28.75,0.054%,4.00
L ICED SALTED CARAMEL,79.25,0.148%,11.00
L ICED WHITE MOCHA,14.75,0.028%,2.00
L LEMONADE,120.00,0.225%,24.00
LARGED ICED LATTE,965.75,1.808%,148.00
London Fog,40.50,0.076%,8.00
M Arnold Palmer,70.00,0.131%,14.00
M COLDBREW,"1,645.75",3.080%,288.00
M ICED AMERICANO,235.25,0.440%,41.00
M ICED CAFE MOCHA,71.00,0.133%,11.00
M ICED CAPPUCCINO,102.75,0.192%,15.00
M ICED CARAMEL MAC,166.00,0.311%,25.00
M ICED CHAI,131.75,0.247%,20.00
M ICED GINGER CHAI,13.25,0.025%,2.00
M ICED LATTE,"1,307.50",2.447%,216.00
M ICED MATCHA,404.00,0.756%,59.00
M Iced Passion Fruit,220.00,0.412%,55.00
M ICED PUMPKIN SPICE,44.50,0.083%,7.00
M ICED SALTED CARAMEL,197.25,0.369%,30.00
M ICED WHITE MOCHA,99.25,0.186%,15.00
M LEMONADE,136.00,0.255%,34.00
Macchiato,13.00,0.024%,3.00
Maple Syrup,0.00,0.000%,4.00
Mc and B,323.00,0.605%,26.00
Milk,10.50,0.020%,3.00
